time,plosses,line,phase
11176,800.0,0.46220790721012844,LINE27,2.0
11177,800.0,5.6587813618120704e-42,LINE41,3.0
11178,800.0,0.0,LINE25,1.0
11179,800.0,4.148564183384119,LINE6,2.0
11180,800.0,3.7092061506874214e-68,LINE46,3.0
11181,800.0,17.317089181074383,LINE1,1.0
11182,800.0,6.132400404894538,LINE33,3.0
11183,800.0,0.0,LINE25,2.0
11184,800.0,-4.1359030627651384e-25,LINE33,1.0
11185,800.0,2.48154183765913e-24,LINE12,1.0
11186,800.0,233.4904301182816,LINE2,2.0
11187,800.0,1.3443764296873606,LINE30,3.0
11188,800.0,0.9844762565300057,LINE26,2.0
11189,800.0,2.039157646249539e-56,LINE19,3.0
11190,800.0,0.0,LINE20,3.0
11191,800.0,4.008874313991887,LINE32,2.0
11192,800.0,0.0,LINE42,1.0
11193,800.0,-3.009265538105056e-36,LINE26,1.0
11194,800.0,-2.938735877055719e-39,LINE39,1.0
11195,800.0,46.3565124004632,LINE5,1.0
11196,800.0,4.521459831326341e-06,LINE29,1.0
11197,800.0,25.182686417467846,LINE7,2.0
11198,800.0,1.2260624976757613,LINE22,3.0
11199,800.0,4.70197740328915e-38,LINE35,2.0
11200,800.0,-1.19037450636103e-30,LINE44,3.0
11201,800.0,1.6497417628124498,LINE45,1.0
11202,800.0,-1.4693679385278594e-39,LINE40,3.0
11203,800.0,-1.1754943508222875e-38,LINE24,1.0
11204,800.0,0.013310473651174102,LINE25,3.0
11205,800.0,338.88974216005545,LINE2,1.0
11206,800.0,0.26113568223481454,LINE40,2.0
11207,800.0,10.670296392840767,LINE1,2.0
11208,800.0,-0.0029012232079408547,LINE32,3.0
11209,800.0,1.2711890245639885,LINE20,2.0
11210,800.0,3.312463616125535e-24,LINE12,3.0
11211,800.0,0.8041098543785665,LINE41,2.0
11212,800.0,1.1492871197071655,LINE36,1.0
11213,800.0,13.737394593459088,LINE22,2.0
11214,800.0,1.5820078108673688e-57,LINE27,3.0
11215,800.0,0.0,LINE17,3.0
11216,800.0,-4.135903062810248e-25,LINE8,2.0
11217,800.0,45.12485078174878,LINE3,2.0
11218,800.0,2.9985297205047547e-24,LINE4,2.0
11219,800.0,-3.0562853121379475e-36,LINE41,1.0
11220,800.0,45.582599031462955,LINE2,3.0
11221,800.0,-1.4932451675289371e-36,LINE16,2.0
11222,800.0,0.0,LINE20,1.0
11223,800.0,4.38106091516887e-06,LINE29,3.0
11224,800.0,0.0,LINE21,3.0
11225,800.0,4.474951040343997e-06,LINE37,3.0
11226,800.0,0.0,LINE31,2.0
11227,800.0,-2.3877229001077715e-38,LINE18,2.0
11228,800.0,0.6073611977557454,LINE31,3.0
11229,800.0,28.252953300211406,LINE9,2.0
11230,800.0,1.1775681310958748,LINE47,1.0
11231,800.0,1.1945303736007444,LINE43,3.0
11232,800.0,3.9577798226043686,LINE29,2.0
11233,800.0,5.863946737685887,LINE15,2.0
11234,800.0,0.0,LINE24,2.0
11235,800.0,20.930478730996352,LINE9,1.0
11236,800.0,1.1754943508222875e-38,LINE27,1.0
11237,800.0,0.0020465603840575087,LINE36,3.0
11238,800.0,2.578221449869379,LINE28,2.0
11239,800.0,0.06920125914293014,LINE17,1.0
11240,800.0,9.105972953111523,LINE28,1.0
11241,800.0,2.8951321439385944e-24,LINE8,1.0
11242,800.0,2.057115113939003e-37,LINE46,2.0
11243,800.0,0.0,LINE21,1.0
11244,800.0,11.909920750804789,LINE11,3.0
11245,800.0,3.834914000033218,LINE44,2.0
11246,800.0,0.0,LINE16,3.0
11247,800.0,0.015811325933853933,LINE1,3.0
11248,800.0,8.43988349106695,LINE22,1.0
11249,800.0,6.363046345942456,LINE14,3.0
