time,load,Pd,Qd
487,220.0,LOAD7,23.0,-1.528
488,220.0,LOAD8,61.0,-2.2799
489,220.0,LOAD4,212.0,238.1626
490,220.0,LOAD3,23.0,-4.0505
491,220.0,LOAD17,46.0,-1.9949
492,220.0,LOAD5,30.0,-4.4667
493,220.0,LOAD1,46.0,-1.9949
494,220.0,LOAD13,203.0,200.0555
495,220.0,LOAD23,229.0,227.5026
496,220.0,LOAD6,24.0,-1.6361
497,220.0,LOAD16,23.0,-1.6705
498,220.0,LOAD21,155.0,176.5638
499,220.0,LOAD14,30.0,-6.9373
500,220.0,LOAD12,203.0,223.344
501,220.0,LOAD19,221.0,202.016
502,220.0,LOAD11,41.0,-1.4936
503,220.0,LOAD10,125.0,-2.5649
504,220.0,LOAD18,68.0,-0.034361
505,220.0,LOAD22,124.0,125.0207
506,230.0,LOAD21,155.0,176.5638
507,230.0,LOAD10,125.0,-2.5649
508,230.0,LOAD23,229.0,227.5026
509,230.0,LOAD5,30.0,-4.4667
510,230.0,LOAD7,23.0,-1.528
511,230.0,LOAD19,401.0,429.8037
512,230.0,LOAD4,212.0,238.1626
513,230.0,LOAD12,203.0,223.344
514,230.0,LOAD15,56.0,-1.6018
515,230.0,LOAD8,61.0,-2.2799
516,230.0,LOAD2,153.0,126.0868
517,230.0,LOAD22,124.0,125.0207
518,230.0,LOAD13,43.0,-2.4224
519,230.0,LOAD14,30.0,-6.9373
520,230.0,LOAD18,238.0,215.0984
521,230.0,LOAD11,201.0,200.9842
522,230.0,LOAD20,5.0,-0.17685
523,230.0,LOAD16,23.0,-1.6705
524,230.0,LOAD6,24.0,-1.6361
525,230.0,LOAD3,23.0,-4.0505
526,230.0,LOAD17,46.0,-1.9949
527,230.0,LOAD9,68.0,-1.8868
528,230.0,LOAD1,46.0,-1.9949
529,240.0,LOAD22,124.0,125.0207
530,240.0,LOAD6,24.0,-1.6361
531,240.0,LOAD19,401.0,429.8037
532,240.0,LOAD16,23.0,-1.6705
533,240.0,LOAD11,361.0,403.4621
534,240.0,LOAD7,23.0,-1.528
535,240.0,LOAD12,23.0,-4.4436
536,240.0,LOAD14,30.0,-6.9373
537,240.0,LOAD15,56.0,-1.6018
538,240.0,LOAD10,125.0,-2.5649
539,240.0,LOAD21,15.0,-0.60433
540,240.0,LOAD4,22.0,-2.2799
541,240.0,LOAD1,46.0,-1.9949
542,240.0,LOAD3,23.0,-4.0505
543,240.0,LOAD8,61.0,-2.2799
544,240.0,LOAD2,153.0,126.0868
545,240.0,LOAD23,49.0,-0.28498
546,240.0,LOAD9,68.0,-1.8868
547,240.0,LOAD5,30.0,-4.4667
